name,ghidra_addr,ne_addr
InitNewGamePlr,1078:6e44,0010:6e44
InitNewGame3,1078:74f8,0010:74f8
FGetNewGameName,1078:7508,0010:7508
SimpleNewGameDlg,1078:76aa,0010:76aa
NewGameDlg,1078:7e92,0010:7e92
NewGameDlg2,1078:87d2,0010:87d2
DrawNewGame2,1078:9556,0010:9556
NewGameDlg3,1078:99f4,0010:99f4
DrawNewGame3,1078:9d5e,0010:9d5e
FTrackNewGameDlg3,1078:a210,0010:a210
SetNGWTitle,1078:a320,0010:a320
LpplrComp,1078:b570,0010:b570
SetVCCheck,1078:b5bc,0010:b5bc
GetVCCheck,1078:b60c,0010:b60c
SetVCVal,1078:b644,0010:b644
GetVCVal,1078:b710,0010:b710
ZipOrderDlg,1080:0000,0011:0000
EnableZipBtns,1080:0832,0011:0832
RenameZipDlg,1080:0880,0011:0880
RenameDlg,1080:0a68,0011:0a68
FStargateJump,1080:0cfe,0011:0cfe
MdCalcStargateDamage,1080:152e,0011:152e
KillUsedWaypoints,1080:189a,0011:189a
NoAutoTrackFleet,1080:1d32,0011:1d32
AutoRouteFleet,1080:1e52,0011:1e52
FColonizer,1080:227c,0011:227c
FScout,1080:2322,0011:2322
AutoFleetOrder,1080:23c8,0011:23c8
CMineFromLpfl,1080:25d2,0011:25d2
PctTerraFromLpfl,1080:275c,0011:275c
CLayMinesFromLpfl,1080:2886,0011:2886
CMineSweepFromLpfl,1080:2b26,0011:2b26
CMineSweepFromLphul,1080:2bfa,0011:2bfa
PctCloakFromLpfl,1080:2d5e,0011:2d5e
CPtsCloakFromLphs,1080:3170,0011:3170
MergeFleetsDlg,1080:3376,0011:3376
MarkTechsSeen,1080:36b6,0011:36b6
DoAiTurn,1088:0000,0012:0000
DoRobotoidAiTurn,1088:0312,0012:0312
EnsureRobotoidShdefs,1088:20ae,0012:20ae
IdTargetArmada,1088:288e,0012:288e
FPotentRobWarFleet,1088:31bc,0012:31bc
FEnumCalcEnemyFleets,1088:325c,0012:325c
FEnumCalcArmadaDest,1088:3286,0012:3286
FEnumCalcArmadaHumanDest,1088:3406,0012:3406
DoTurinDroneAiTurn,1088:3670,0012:3670
EnsureTurinDroneShdefs,1088:58ba,0012:58ba
FEnumCalcMinerDest,1088:5f32,0012:5f32
FEnumCalcColonistDrop,1088:5fc8,0012:5fc8
FCreateAiShdef,1090:012c,0013:012c
FGetAIPart,1090:043e,0013:043e
PickANameAndBmp,1090:055a,0013:055a
FChangeAiShdef,1090:08a2,0013:08a2
XferAiSupply,1090:0ad0,0013:0ad0
XferAiTroopers,1090:0bc2,0013:0bc2
FColonizeAiFleet,1090:0c78,0013:0c78
FGotoWormholeAiFleet,1090:0d5c,0013:0d5c
IdNearestColonizablePlanet,1090:0e3e,0013:0e3e
LpthWormFind,1090:12e6,0013:12e6
UlFleetPower,1090:14de,0013:14de
IdNearestUnknownPlanet,1090:15a4,0013:15a4
AddMinesToBlockedQueues,1090:1792,0013:1792
FFleetInField,1090:1cf6,0013:1cf6
SetAiFleetIdealSpeed,1090:1d9e,0013:1d9e
IdTargetAttack,1090:1ffe,0013:1ffe
IdTargetFreighter,1090:286c,0013:286c
FSalvageTargetFreighter2,1090:395a,0013:395a
FMoveAiFleet,1090:3d0a,0013:3d0a
AddItemToQueue,1090:3e50,0013:3e50
IroEnsureAi,1090:425a,0013:425a
KeepFleetsMoving,1090:45ca,0013:45ca
FShouldWeBuildColonizers,1090:476a,0013:476a
FIsAiAttack,1090:4a72,0013:4a72
FIsTurinDroneAiAttack,1090:4b9a,0013:4b9a
FIsAiTransport,1090:4c08,0013:4c08
ValidateStarbaseHistory,1090:4cf0,0013:4cf0
GetResourcesAvailable,1090:56d0,0013:56d0
GetProdQCost,1090:57c0,0013:57c0
MergeAllShdefs,1090:58be,0013:58be
LpflFindClosestEnum,1090:5bae,0013:5bae
LpplFindClosestEnum,1090:5cd4,0013:5cd4
LpplFindBestEnum,1090:5e06,0013:5e06
IdRandomPlanetNearby,1090:5f54,0013:5f54
ClearAiCurrentTask,1090:60c0,0013:60c0
FEnumOurStarbase,1090:6110,0013:6110
FFleetMightHaveTeeth,1090:6152,0013:6152
IdTargetScout,1090:61de,0013:61de
MarkPlanetsUnderAttack,1090:6896,0013:6896
FixPlanetsUnderAttack,1090:69e6,0013:69e6
QuickBuildDefenses,1090:6a7e,0013:6a7e
IdplFindClosestStarbase,1090:6e04,0013:6e04
FMoveToNearestStarbase,1090:6f7e,0013:6f7e
MoveToNearestPlanetOrEnemy,1090:7014,0013:7014
EnsureAiStarbaseDesigns,1090:7222,0013:7222
